"Molecular Weight",XLogP3,"Hydrogen Bond Donor Count","Hydrogen Bond Acceptor Count","Rotatable Bond Count","Topological Polar Surface Area",Heavy Atom Count,Complexity,pKa,logS,Amount(mg),Type,Amount(mg),Type,Amount(mg),Binder,Amount(mg),Disintegrant,Amount(mg),Disintegrant,Amount(mg),Lubricant,Amount(mg),Lubricant,Amount(mg),Solubilzer,Amount(mg),Disintegration time(s)
425.917,3.9,2,3,5,67.9,30,655,7.9,-3.7,10,1,24.45,2,57.05,0,0,3,4,0,0,1,1,2,0.5,0,0,18
425.917,3.9,2,3,5,67.9,30,655,7.9,-3.7,10,1,23.85,2,55.65,0,0,1,6,0,0,1,1,2,0.5,0,0,15
425.917,3.9,2,3,5,67.9,30,655,7.9,-3.7,10,1,23.25,2,54.25,0,0,2,8,0,0,1,1,2,0.5,0,0,10
271.404,3.4,0,2,1,12.5,20,370,9.85,-4.5,65,1,85,2,40,0,0,2,20,0,0,1,2,2,1,0,0,9.27
271.405,3.4,0,2,1,12.5,20,370,9.85,-4.5,65,1,81,2,40,0,0,2,20,0,0,1,2,2,1,0,0,10.41
271.406,3.4,0,2,1,12.5,20,370,9.85,-4.5,65,1,71,2,40,0,0,2,20,0,0,1,2,2,1,0,0,8.5
271.407,3.4,0,2,1,12.5,20,370,9.85,-4.5,65,1,85,2,40,0,0,1,20,0,0,1,2,2,1,0,0,13.54
271.408,3.4,0,2,1,12.5,20,370,9.85,-4.5,65,1,81,2,40,0,0,1,20,0,0,1,2,2,1,0,0,15.42
271.409,3.4,0,2,1,12.5,20,370,9.85,-4.5,65,1,71,2,40,0,0,1,20,0,0,1,2,2,1,0,0,17.51
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,93.75,2,37.5,0,0,1,10,0,0,1,2.5,2,1.25,0,0,70
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,88.75,2,37.5,0,0,1,15,0,0,1,2.5,2,1.25,0,0,55
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,83.75,2,37.5,0,0,1,20,0,0,1,2.5,2,1.25,0,0,40
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,93.75,2,37.5,0,0,2,10,0,0,1,2.5,2,1.25,0,0,21
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,88.75,2,37.5,0,0,2,15,0,0,1,2.5,2,1.25,0,0,19
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,83.75,2,37.5,0,0,2,20,0,0,1,2.5,2,1.25,0,0,18
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,93.75,2,37.5,0,0,3,10,0,0,1,2.5,2,1.25,0,0,37
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,88.75,2,37.5,0,0,3,15,0,0,1,2.5,2,1.25,0,0,30
459.564,4.2,0,6,4,70.6,33,666,4.04,-5.3,100,1,83.75,2,37.5,0,0,3,20,0,0,1,2.5,2,1.25,0,0,31